,,,,Round of 32,,,,Sweet 16,,,,Elite 8,,,,Final 4,,,,Finals,,,,Champion,,
Team,Seed,Region,KenPom %,Yahoo Pick %,Leverage,Effective Leverage,KenPom %,Yahoo Pick %,Leverage,Effective Leverage,KenPom %,Yahoo Pick %,Leverage,Effective Leverage,KenPom %,Yahoo Pick %,Leverage,Effective Leverage,KenPom %,Yahoo Pick %,Leverage,Effective Leverage,KenPom %,Yahoo Pick %,Leverage,Effective Leverage
Duke,1,East,99.1,98.21,0.89,0.88,85.3,93.59,-8.29,-7.07,69,78.77,-9.77,-6.74,52.7,64.67,-11.97,-6.31,33.3,49.51,-16.21,-5.4,21,30.24,-9.24,-1.94
Arizona,1,West,99.6,94.82,4.78,4.76,85.7,89.38,-3.68,-3.15,68.8,74.48,-5.68,-3.91,49.7,56.08,-6.38,-3.17,32.1,38.93,-6.83,-2.19,18.5,19.37,-0.87,-0.16
Michigan,1,Midwest,99.5,94.22,5.28,5.25,88.2,89.6,-1.4,-1.23,70.9,77.11,-6.21,-4.4,50.2,58.91,-8.71,-4.37,30.4,28.46,1.94,0.59,18.4,14.48,3.92,0.72
Florida,1,South,99.8,95.36,4.44,4.43,77.9,88.13,-10.23,-7.97,53.2,74.68,-21.48,-11.43,30.1,41.77,-11.67,-3.51,15.8,13.68,2.12,0.33,7.5,6.48,1.02,0.08
Uconn,2,East,95.9,96.15,-0.25,-0.24,66.1,77.4,-11.3,-7.47,35.5,48.29,-12.79,-4.54,13.1,13.25,-0.15,-0.02,4.9,7.19,-2.29,-0.11,1.9,3.61,-1.71,-0.03
Purdue,2,West,97.6,93.62,3.98,3.88,74.9,76.5,-1.6,-1.2,46.7,47.5,-0.8,-0.37,20.8,15.85,4.95,1.03,10.3,7.47,2.83,0.29,4.3,3.17,1.13,0.05
Iowa State,2,Midwest,98.4,91.25,7.15,7.04,75.3,69.43,5.87,4.42,49.4,47.35,2.05,1.01,22.9,16.41,6.49,1.49,11.2,5.12,6.08,0.68,5.4,1.82,3.58,0.19
Houston,2,South,96.9,93.67,3.23,3.13,73.5,81.46,-7.96,-5.85,43.6,58.94,-15.34,-6.69,25.1,34,-8.9,-2.23,12.9,12.62,0.28,0.04,6.1,5.2,0.9,0.05
Michigan State,3,East,91.6,94.58,-2.98,-2.73,57.5,73.1,-15.6,-8.97,32.9,34.57,-1.67,-0.55,12,7.72,4.28,0.51,4.6,3.36,1.24,0.06,1.8,1.36,0.44,0.01
Gonzaga,3,West,96.3,91.65,4.65,4.48,63.4,64.19,-0.79,-0.5,31.6,30.43,1.17,0.37,11.7,10.08,1.62,0.19,4.9,4.9,0,0,1.7,1.91,-0.21,0
Virginia,3,Midwest,93.1,90.14,2.96,2.76,53.1,59.96,-6.86,-3.64,23.2,25.79,-2.59,-0.6,7.8,7.57,0.23,0.02,2.7,2.39,0.31,0.01,1,0.77,0.23,0
